,title,day,timeRange,start,end
0,Wake Up - Morning Routine,0,"['07:00', '08:00']",7.0,8.0
1,Commute To Campus,0,"['08:00', '08:30']",8.0,8.5
2,Research (1 Hour),0,"['08:30', '09:30']",8.5,9.5
3,GIS Class,0,"['09:30', '10:45']",9.5,10.75
4,Go Home,0,"['10:45', '11:15']",10.75,11.25
5,Lunch,0,"['11:15', '12:00']",11.25,12.0
6,Research (1 hour),0,"['12:00', '13:00']",12.0,13.0
7,Workshop,0,"['13:00', '16:00']",13.0,16.0
8,Break,0,"['16:00', '16:30']",16.0,16.5
9,Research (1.5 Hour),0,"['16:30', '18:00']",16.5,18.0
10,Dinner,0,"['18:00', '18:30']",18.0,18.5
11,GIS Class (1 hour),0,"['18:30', '19:30']",18.5,19.5
12,Research (1 hour),0,"['19:30', '20:30']",19.5,20.5
13,Wake Up - Morning Routine,2,"['07:00', '08:00']",7.0,8.0
14,Wake Up - Morning Routine,1,"['07:00', '08:00']",7.0,8.0
15,Wake Up - Morning Routine,3,"['07:00', '08:00']",7.0,8.0
16,Wake Up - Morning Routine,4,"['07:00', '08:00']",7.0,8.0
17,Research (2 Hours),1,"['08:00', '10:00']",8.0,10.0
18,Break,1,"['10:00', '10:30']",10.0,10.5
19,Research (2 Hour),1,"['10:30', '12:30']",10.5,12.5
20,Lunch,1,"['12:30', '13:30']",12.5,13.5
21,GIS Class (1.5 Hour),1,"['13:30', '15:00']",13.5,15.0
22,DOE Connected Communities,1,"['15:00', '16:00']",15.0,16.0
23,Research Works (2 Hours),1,"['16:00', '18:00']",16.0,18.0
24,Dinner,1,"['18:00', '18:30']",18.0,18.5
25,GIS Class (1 Hours),1,"['18:30', '19:30']",18.5,19.5
26,Commute To Campus,2,"['08:00', '08:30']",8.0,8.5
27,Research (1 Hour),2,"['08:30', '09:30']",8.5,9.5
28,GIS Class,2,"['09:30', '10:45']",9.5,10.75
29,AE 4699 ,2,"['11:00', '12:00']",11.0,12.0
30,Research Meeting (inperson),2,"['13:30', '14:30']",13.5,14.5
31,Lunch (On Campus),2,"['12:00', '12:30']",12.0,12.5
32,Research (1 Hour),2,"['12:30', '13:30']",12.5,13.5
33,Go Home,2,"['14:30', '15:00']",14.5,15.0
34,Research (2 Hour),2,"['15:00', '17:00']",15.0,17.0
35,GIS Class (1 Hour),2,"['17:00', '18:00']",17.0,18.0
36,Dinner,2,"['18:00', '18:30']",18.0,18.5
37,GIS Class (2 Hour),3,"['08:00', '10:00']",8.0,10.0
38,BiWeekly Energyshed meeting,3,"['10:00', '11:00']",10.0,11.0
39,Research (2 Hour),3,"['11:30', '13:30']",11.5,13.5
40,Lunch,3,"['11:00', '11:30']",11.0,11.5
41,GIS Class (1.5 Hours),3,"['13:30', '15:00']",13.5,15.0
42,Research (1.5 Hour),3,"['15:30', '17:00']",15.5,17.0
43,Research (3 Hour),4,"['08:00', '11:00']",8.0,11.0
44,Lunch,4,"['11:00', '12:00']",11.0,12.0
45,GIS Class (2 Hour),4,"['12:00', '14:00']",12.0,14.0
46,Break,3,"['15:00', '15:30']",15.0,15.5
